accession	locus	organism	mol_type	strain	country	location	continent	collection_date.y	collection_date.m	collection_date.d	host	isolation_source	isolate	length	N	M	F	HN	L	NP	P	D
AB736166.1	AB736166	Human respirovirus 3	viral cRNA	ZMLS/2011	Zambia	Livingstone	Africa	2011	11	1	Papio ursinus spleen	NA	NA	15298	100	100	100	100	100	100	100	100
EU814623.1	EU814623	Human respirovirus 3	viral cRNA	DEL/322/06	India	NA	Asia	2006	2	25	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
EU814624.1	EU814624	Human respirovirus 3	viral cRNA	DEL/88/06	India	NA	Asia	2006	1	2	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
EU814625.1	EU814625	Human respirovirus 3	viral cRNA	DEL/w32/05	India	NA	Asia	2005	8	31	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
EU814626.1	EU814626	Human respirovirus 3	viral cRNA	DEL/139/05	India	NA	Asia	2005	8	31	Homo sapiens	NA	NA	1719	0	0	0	100	0	0	0	0
FJ455842.2	FJ455842	Human respirovirus 3	viral cRNA	LZ22	China	"Lanzhou, Gansu"	Asia	2003	12	1	Homo sapiens	low respiratory tract secretion from	NA	15462	100	100	100	100	100	100	100	100
GU732130.1	GU732130	Human respirovirus 3	viral cRNA	BJ/001/08	China	Beijing	Asia	2008	5	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732131.1	GU732131	Human respirovirus 3	viral cRNA	BJ/002/08	China	Beijing	Asia	2008	5	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732132.1	GU732132	Human respirovirus 3	viral cRNA	BJ/005/08	China	Beijing	Asia	2008	6	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732133.1	GU732133	Human respirovirus 3	viral cRNA	BJ/006/08	China	Beijing	Asia	2008	6	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732134.1	GU732134	Human respirovirus 3	viral cRNA	BJ/009/08	China	Beijing	Asia	2008	6	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732135.1	GU732135	Human respirovirus 3	viral cRNA	BJ/012/08	China	Beijing	Asia	2008	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732136.1	GU732136	Human respirovirus 3	viral cRNA	BJ/014/08	China	Beijing	Asia	2008	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732137.1	GU732137	Human respirovirus 3	viral cRNA	BJ/020/08	China	Beijing	Asia	2008	9	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732138.1	GU732138	Human respirovirus 3	viral cRNA	BJ/023/08	China	Beijing	Asia	2008	9	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732139.1	GU732139	Human respirovirus 3	viral cRNA	BJ/036/08	China	Beijing	Asia	2008	10	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732140.1	GU732140	Human respirovirus 3	viral cRNA	BJ/037/08	China	Beijing	Asia	2008	11	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732141.1	GU732141	Human respirovirus 3	viral cRNA	BJ/059/08	China	Beijing	Asia	2008	12	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732142.1	GU732142	Human respirovirus 3	viral cRNA	BJ/108/09	China	Beijing	Asia	2009	1	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732143.1	GU732143	Human respirovirus 3	viral cRNA	BJ/129/09	China	Beijing	Asia	2009	2	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732144.1	GU732144	Human respirovirus 3	viral cRNA	BJ/138/09	China	Beijing	Asia	2009	2	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732145.1	GU732145	Human respirovirus 3	viral cRNA	BJ/156/09	China	Beijing	Asia	2009	2	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
