accession	locus	organism	mol_type	strain	country	location	continent	collection_date.y	collection_date.m	collection_date.d	host	isolation_source	isolate	length	N	M	F	HN	L	NP	P	D
AB012132.1	AB012132	Human respirovirus 3	genomic RNA	GP	NA	NA	NA	NA	NA	NA	Cavia porcellus (Guinea pig)	NA	NA	15462	100	100	100	99.82547993	100	100	100	100
AB189960.1	AB189960	Human respirovirus 3	genomic RNA	KK24	Japan	NA	Asia	NA	NA	NA	Homo sapiens	Laboratory rat lung naturally infected	NA	1719	0	0	0	100	0	0	0	0
AB189961.1	AB189961	Human respirovirus 3	genomic RNA	NA	Japan	NA	Asia	NA	NA	NA	NA	Breeding rat room dust	NA	1719	0	0	0	100	0	0	0	0
AB189962.1	AB189962	Human respirovirus 3	genomic RNA	KK24	Japan	NA	Asia	NA	NA	NA	Homo sapiens	Laboratory rat lung naturally infected	NA	247	15.95607235	0	0	0	0	15.95607235	0	0
AB195610.1	AB195610	Human respirovirus 3	genomic RNA	KK24	Japan	NA	Asia	NA	NA	NA	NA	Laboratory rat lung naturally infected	NA	211	0	0	0	0	3.148313936	0	0	0
AB195611.1	AB195611	Human respirovirus 3	genomic RNA	DH22	Japan	NA	Asia	NA	NA	NA	NA	Breeding rat room dust	NA	211	0	0	0	0	3.148313936	0	0	0
AB195612.1	AB195612	Human respirovirus 3	genomic RNA	B12	Japan	NA	Asia	NA	NA	NA	NA	Laboratory rat lung (B12)naturally	NA	247	15.95607235	0	0	0	0	15.95607235	0	0
AB195613.1	AB195613	Human respirovirus 3	genomic RNA	DH22	Japan	NA	Asia	NA	NA	NA	NA	Breeding rat room dust	NA	247	15.95607235	0	0	0	0	15.95607235	0	0
AB623423.1	AB623423	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1345	Japan	Yamagata	Asia	2002	5	8	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623424.1	AB623424	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1392	Japan	Yamagata	Asia	2002	5	14	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623425.1	AB623425	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1436	Japan	Yamagata	Asia	2002	5	21	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623426.1	AB623426	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1437	Japan	Yamagata	Asia	2002	5	21	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623427.1	AB623427	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1472	Japan	Yamagata	Asia	2002	5	28	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623428.1	AB623428	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1488	Japan	Yamagata	Asia	2002	5	23	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623429.1	AB623429	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1501	Japan	Yamagata	Asia	2002	5	26	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623430.1	AB623430	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1512	Japan	Yamagata	Asia	2002	5	27	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623431.1	AB623431	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1548	Japan	Yamagata	Asia	2002	5	31	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623432.1	AB623432	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1552	Japan	Yamagata	Asia	2002	5	31	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623433.1	AB623433	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1558	Japan	Yamagata	Asia	2002	6	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623434.1	AB623434	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1559	Japan	Yamagata	Asia	2002	6	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623435.1	AB623435	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1760	Japan	Yamagata	Asia	2002	6	25	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623436.1	AB623436	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1815	Japan	Yamagata	Asia	2002	7	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623437.1	AB623437	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1830	Japan	Yamagata	Asia	2002	7	3	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623438.1	AB623438	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1833	Japan	Yamagata	Asia	2002	7	3	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623439.1	AB623439	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/1902	Japan	Yamagata	Asia	2002	7	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623440.1	AB623440	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2002/2303	Japan	Yamagata	Asia	2002	9	2	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623441.1	AB623441	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1139	Japan	Yamagata	Asia	2003	3	30	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623442.1	AB623442	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1237	Japan	Yamagata	Asia	2003	4	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623443.1	AB623443	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1256	Japan	Yamagata	Asia	2003	4	16	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623444.1	AB623444	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1258	Japan	Yamagata	Asia	2003	4	16	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623445.1	AB623445	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1274	Japan	Yamagata	Asia	2003	4	15	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623446.1	AB623446	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1303	Japan	Yamagata	Asia	2003	4	21	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623447.1	AB623447	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1309	Japan	Yamagata	Asia	2003	4	23	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623448.1	AB623448	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1322	Japan	Yamagata	Asia	2003	4	19	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623449.1	AB623449	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1373	Japan	Yamagata	Asia	2003	4	30	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623450.1	AB623450	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1382	Japan	Yamagata	Asia	2003	4	28	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623451.1	AB623451	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1452	Japan	Yamagata	Asia	2003	5	2	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623452.1	AB623452	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1491	Japan	Yamagata	Asia	2003	5	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623453.1	AB623453	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1493	Japan	Yamagata	Asia	2003	5	10	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623454.1	AB623454	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1508	Japan	Yamagata	Asia	2003	5	13	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623455.1	AB623455	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1526	Japan	Yamagata	Asia	2003	5	15	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623456.1	AB623456	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1552	Japan	Yamagata	Asia	2003	5	20	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623457.1	AB623457	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1595	Japan	Yamagata	Asia	2003	5	22	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623458.1	AB623458	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2003/1840	Japan	Yamagata	Asia	2003	6	20	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623459.1	AB623459	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/796	Japan	Yamagata	Asia	2004	5	18	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623460.1	AB623460	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/799	Japan	Yamagata	Asia	2004	5	19	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623461.1	AB623461	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/837	Japan	Yamagata	Asia	2004	5	24	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623462.1	AB623462	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/842	Japan	Yamagata	Asia	2004	5	25	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623463.1	AB623463	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/876	Japan	Yamagata	Asia	2004	6	2	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623464.1	AB623464	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/879	Japan	Yamagata	Asia	2004	6	2	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623465.1	AB623465	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/907	Japan	Yamagata	Asia	2004	6	2	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623466.1	AB623466	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/910	Japan	Yamagata	Asia	2004	6	2	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623467.1	AB623467	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/931	Japan	Yamagata	Asia	2004	6	7	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623468.1	AB623468	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/947	Japan	Yamagata	Asia	2004	6	4	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623469.1	AB623469	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/973	Japan	Yamagata	Asia	2004	6	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623470.1	AB623470	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1002	Japan	Yamagata	Asia	2004	6	12	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623471.1	AB623471	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1022	Japan	Yamagata	Asia	2004	6	15	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623472.1	AB623472	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1061	Japan	Yamagata	Asia	2004	6	22	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623473.1	AB623473	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1082	Japan	Yamagata	Asia	2004	6	18	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623474.1	AB623474	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1148	Japan	Yamagata	Asia	2004	7	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623475.1	AB623475	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1150	Japan	Yamagata	Asia	2004	7	1	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623476.1	AB623476	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1162	Japan	Yamagata	Asia	2004	7	7	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623477.1	AB623477	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1163	Japan	Yamagata	Asia	2004	7	7	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623478.1	AB623478	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1225	Japan	Yamagata	Asia	2004	7	12	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623479.1	AB623479	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2004/1272	Japan	Yamagata	Asia	2004	7	20	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623480.1	AB623480	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1087	Japan	Yamagata	Asia	2005	5	17	Homo sapiens	nasal mucus from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623481.1	AB623481	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1205	Japan	Yamagata	Asia	2005	6	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623482.1	AB623482	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1214	Japan	Yamagata	Asia	2005	5	28	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623483.1	AB623483	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1250	Japan	Yamagata	Asia	2005	6	7	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623484.1	AB623484	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1257	Japan	Yamagata	Asia	2005	6	8	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623485.1	AB623485	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1316	Japan	Yamagata	Asia	2005	6	15	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623486.1	AB623486	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1318	Japan	Yamagata	Asia	2005	6	11	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623487.1	AB623487	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1326	Japan	Yamagata	Asia	2005	6	13	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623488.1	AB623488	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1342	Japan	Yamagata	Asia	2005	6	14	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623489.1	AB623489	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1386	Japan	Yamagata	Asia	2005	6	22	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623490.1	AB623490	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1405	Japan	Yamagata	Asia	2005	6	23	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623491.1	AB623491	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1418	Japan	Yamagata	Asia	2005	6	22	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623492.1	AB623492	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1443	Japan	Yamagata	Asia	2005	6	29	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623493.1	AB623493	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1457	Japan	Yamagata	Asia	2005	6	27	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623494.1	AB623494	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1467	Japan	Yamagata	Asia	2005	6	29	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623495.1	AB623495	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1469	Japan	Yamagata	Asia	2005	6	29	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623496.1	AB623496	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1470	Japan	Yamagata	Asia	2005	6	30	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623497.1	AB623497	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1471	Japan	Yamagata	Asia	2005	6	30	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623498.1	AB623498	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1473	Japan	Yamagata	Asia	2005	6	30	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623499.1	AB623499	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1495	Japan	Yamagata	Asia	2005	7	4	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623500.1	AB623500	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1515	Japan	Yamagata	Asia	2005	7	4	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623501.1	AB623501	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1522	Japan	Yamagata	Asia	2005	7	5	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623502.1	AB623502	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1524	Japan	Yamagata	Asia	2005	7	5	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623503.1	AB623503	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1533	Japan	Yamagata	Asia	2005	7	6	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623504.1	AB623504	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1536	Japan	Yamagata	Asia	2005	7	7	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623505.1	AB623505	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1552	Japan	Yamagata	Asia	2005	7	13	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623506.1	AB623506	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1565	Japan	Yamagata	Asia	2005	7	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623507.1	AB623507	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1566	Japan	Yamagata	Asia	2005	7	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623508.1	AB623508	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1571	Japan	Yamagata	Asia	2005	7	11	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623509.1	AB623509	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1572	Japan	Yamagata	Asia	2005	7	11	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623510.1	AB623510	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1582	Japan	Yamagata	Asia	2005	7	13	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623511.1	AB623511	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1589	Japan	Yamagata	Asia	2005	7	14	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623512.1	AB623512	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1599	Japan	Yamagata	Asia	2005	7	11	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623513.1	AB623513	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1612	Japan	Yamagata	Asia	2005	7	14	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623514.1	AB623514	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1616	Japan	Yamagata	Asia	2005	7	20	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623515.1	AB623515	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1635	Japan	Yamagata	Asia	2005	7	19	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623516.1	AB623516	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1674	Japan	Yamagata	Asia	2005	7	21	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623517.1	AB623517	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1685	Japan	Yamagata	Asia	2005	7	25	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623518.1	AB623518	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1699	Japan	Yamagata	Asia	2005	7	28	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623519.1	AB623519	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1730	Japan	Yamagata	Asia	2005	7	29	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623520.1	AB623520	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1733	Japan	Yamagata	Asia	2005	8	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
